% Model:              E_field_model_symetry_allel.mph
% Version:            COMSOL 5.4.0.388
% Date:               Mar 5 2020, 20:47
% Dimension:          1
% Nodes:              50000
% Expressions:        2
% Description:        z-coordinate, Electric field, z component
% cln1x                   z (mm)                   Term4.Ez (V/m)
0.03468                   -1.965319999999999       -0.21958478471506043
0.03476                   -1.9652400000000014      -0.21957777002558876
0.03484                   -1.9651600000000005      -0.21957074995156925
0.03492                   -1.9650799999999993      -0.21956372449300202
0.035                     -1.965000000000001       -0.21955669364988745
0.03508                   -1.964920000000002       -0.21954965742222513
0.03516                   -1.9648399999999995      -0.21954261581001489
0.03524                   -1.9647600000000003      -0.21953556881325725
0.03532                   -1.9646800000000004      -0.21952851643195193
0.0354                    -1.9645999999999995      -0.2195214586660989
0.03548                   -1.9645200000000005      -0.21951439551569843
0.03556                   -1.96444                 -0.2195073269807501
0.03564                   -1.964360000000001       -0.21950025306125434
0.03572                   -1.9642800000000005      -0.21949317375721078
0.0358                    -1.9641999999999984      -0.21948608906861947
0.03588                   -1.9641200000000005      -0.2194789989954808
0.03596                   -1.9640399999999993      -0.21947190353779425
0.03604                   -1.9639600000000006      -0.2194648026955603
0.03612                   -1.9638799999999998      -0.2194576964687785
0.0362                    -1.9638                  -0.21945058485744914
0.03628                   -1.963719999999999       -0.2194434678615721
0.03636                   -1.9636400000000005      -0.21943634548114752
0.03644                   -1.9635600000000004      -0.21942921771617524
0.03652                   -1.9634800000000006      -0.2194220845666553
0.0366                    -1.963400000000001       -0.2194149460325878
0.03668                   -1.9633200000000002      -0.21940780211397248
0.03676                   -1.9632399999999999      -0.21940065281080956
0.03684                   -1.9631599999999993      -0.2193934981230991
0.03692                   -1.96308                 -0.21938633805084098
0.037                     -1.9630000000000003      -0.21937917259403522
0.03708                   -1.96292                 -0.2193720017526818
0.03716                   -1.96284                 -0.2193648255267807
0.03724                   -1.9627599999999992      -0.21935764391633192
0.03732                   -1.9626799999999995      -0.21935045692133565
0.0374                    -1.9626000000000001      -0.21934326454179168
0.03748                   -1.9625200000000005      -0.21933606677770007
0.03756                   -1.962440000000001       -0.2193288636290609
0.03764                   -1.9623599999999999      -0.2193216550958738
0.03772                   -1.9622800000000011      -0.21931444117813945
0.0378                    -1.9622000000000004      -0.21930722187585716
0.03788                   -1.9621199999999999      -0.2192999971890273
0.03796                   -1.9620399999999996      -0.21929276711764975
0.03804                   -1.96196                 -0.2192855316617247
0.03812                   -1.9618800000000005      -0.219278290821252
0.0382                    -1.9618                  -0.21927104459623153
0.03828                   -1.9617200000000006      -0.21926379298666354
0.03836                   -1.9616400000000005      -0.21925653599254788
0.03844                   -1.9615600000000006      -0.21924927361388458
0.03852                   -1.9614800000000008      -0.21924200585067358
0.0386                    -1.9614000000000003      -0.21923473270291496
0.03868                   -1.96132                 -0.21922745417060863
0.03876                   -1.9612399999999994      -0.21922017025375476
0.03884                   -1.9611599999999987      -0.21921288095235314
0.03892                   -1.9610799999999988      -0.21920558626640396
0.039                     -1.961                   -0.2191982861959073
0.03908                   -1.9609200000000002      -0.21919098074086285
0.03916                   -1.9608399999999997      -0.2191836699012707
0.03924                   -1.9607600000000007      -0.21917635367713106
0.03932                   -1.9606799999999998      -0.21916903206844363
0.0394                    -1.9606000000000008      -0.21916170507520866
0.03948                   -1.9605199999999998      -0.21915437269742594
0.03956                   -1.96044                 -0.21914703493509563
0.03964                   -1.960359999999999       -0.21913969178821763
0.03972                   -1.96028                 -0.21913234325679212
0.0398                    -1.9602000000000004      -0.21912498934081892
0.03988                   -1.9601200000000014      -0.21911763004029816
0.03996                   -1.9600400000000013      -0.21911026535522965
0.04004                   -1.9599600000000001      -0.21910289528561339
0.04012                   -1.9598800000000003      -0.21909551983144965
0.0402                    -1.9598000000000007      -0.21908813899273824
0.04028                   -1.95972                 -0.21908075276947908
0.04036                   -1.9596399999999998      -0.2190733611616724
0.04044                   -1.9595599999999995      -0.21906596416931798
0.04052                   -1.9594800000000003      -0.21905856179241606
0.0406                    -1.9594000000000005      -0.21905115403096648
0.04068                   -1.9593199999999993      -0.21904374088496906
0.04076                   -1.95924                 -0.21903632235442422
0.04084                   -1.9591600000000007      -0.2190288984393317
0.04092                   -1.9590799999999993      -0.21902146913969142
0.041                     -1.9589999999999994      -0.21901403445550352
0.04108                   -1.9589199999999984      -0.219006594386768
0.04116                   -1.95884                 -0.218999148933485
0.04124                   -1.9587600000000003      -0.21899169809565422
0.04132                   -1.958679999999999       -0.21898424187327575
0.0414                    -1.9585999999999988      -0.21897678026634965
0.04148                   -1.9585200000000014      -0.21896931327487618
0.04156                   -1.9584400000000013      -0.2189618408988549
0.04164                   -1.9583599999999997      -0.21895436313828573
